A3;Accurate, Adaptable, and Accessible Error Metrics for Predictive Models
aaSEA;Amino Acid Substitution Effect Analyser
ABACUS;Apps Based Activities for Communicating and Understanding Statistics
abbyyR;Access to Abbyy Optical Character Recognition (OCR) API
abc;Tools for Approximate Bayesian Computation (ABC)
abc.data;Data Only: Tools for Approximate Bayesian Computation (ABC)
ABC.RAP;Array Based CpG Region Analysis Pipeline
abcADM;Fit Accumulated Damage Models and Estimate Reliability using ABC
ABCanalysis;Computed ABC Analysis
abcdeFBA;ABCDE_FBA: A-Biologist-Can-Do-Everything of Flux Balance Analysis with this package
ABCoptim;Implementation of Artificial Bee Colony (ABC) Optimization
ABCp2;Approximate Bayesian Computational Model for Estimating P2
abcrf;Approximate Bayesian Computation via Random Forests
abcrlda;Asymptotically Bias-Corrected Regularized Linear Discriminant Analysis
abctools;Tools for ABC Analyses
abd;The Analysis of Biological Data
abe;Augmented Backward Elimination
abemus;Adaptive Base Error Model in Ultra-Deep Sequencing Data
abf2;Load Gap-Free Axon ABF2 Files
ABHgenotypeR;Easy Visualization of ABH Genotypes
abind;Combine Multidimensional Arrays
abjutils;Useful Tools for Jurimetrical Analysis Used by the Brazilian Jurimetrics Association
abn;Modelling Multivariate Data with Additive Bayesian Networks
abnormality;Measure a Subject's Abnormality with Respect to a Reference Population
abodOutlier;Angle-Based Outlier Detection
ABPS;The Abnormal Blood Profile Score to Detect Blood Doping
AbsFilterGSEA;Improved False Positive Control of Gene-Permuting GSEA with Absolute Filtering
AbSim;Time Resolved Simulations of Antibody Repertoires
abstractr;An R-Shiny Application for Creating Visual Abstracts
abtest;Bayesian A/B Testing
abundant;High-Dimensional Principal Fitted Components and Abundant Regression
Ac3net;Inferring Directional Conservative Causal Core Gene Networks
ACA;Abrupt Change-Point or Aberration Detection in Point Series
acc;Exploring Accelerometer Data
accelerometry;Functions for Processing Accelerometer Data
accelmissing;Missing Value Imputation for Accelerometer Data
accept;The Acute COPD Exacerbation Prediction Tool (ACCEPT)
AcceptanceSampling;Creation and Evaluation of Acceptance Sampling Plans
ACCLMA;ACC & LMA Graph Plotting
accrual;Bayesian Accrual Prediction
accrued;Data Quality Visualization Tools for Partially Accruing Data
accSDA;Accelerated Sparse Discriminant Analysis
ACD;Categorical data analysis with complete or missing responses
ACDm;Tools for Autoregressive Conditional Duration Models
ace2fastq;ACE File to FASTQ Converter
acebayes;Optimal Bayesian Experimental Design using the ACE Algorithm
acepack;ACE and AVAS for Selecting Multiple Regression Transformations
ACEt;Estimating Dynamic Heritability and Twin Model Comparison
acfMPeriod;Robust Estimation of the ACF from the M-Periodogram
acid;Analysing Conditional Income Distributions
acm4r;Align-and-Count Method comparisons of RFLP data
ACMEeqtl;Estimation of Interpretable eQTL Effect Sizes Using a Log of Linear Model
acmeR;Implements ACME Estimator of Bird and Bat Mortality by Wind Turbines
ACNE;Affymetrix SNP Probe-Summarization using Non-Negative Matrix Factorization
acnr;Annotated Copy-Number Regions
acopula;Modelling Dependence with Multivariate Archimax (or any User-Defined Continuous) Copulas
AcousticNDLCodeR;Coding Sound Files for Use with NDL
acp;Autoregressive Conditional Poisson
